code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K7_R1_2,pegged,flip,0.06,0.01,0.01,0.01,0.01,4,0.338980,0.246934,0.028908,0.709034
K7_R1_2,pegged,flip,0.065,0.01,0.01,0.01,0.01,4,0.228368,0.408830,0.030685,0.706361
K7_R1_2,pegged,flip,0.07,0.01,0.01,0.01,0.01,4,0.218715,0.423359,0.038489,0.694615
K7_R1_2,pegged,flip,0.075,0.01,0.01,0.01,0.01,4,0.168397,0.499091,0.051377,0.675217
K7_R1_2,pegged,flip,0.08,0.01,0.01,0.01,0.01,4,0.093679,0.611549,0.023001,0.717925
K7_R1_2,pegged,flip,0.085,0.01,0.01,0.01,0.01,4,0.064725,0.655127,0.030851,0.706110
K7_R1_2,pegged,flip,0.09,0.01,0.01,0.01,0.01,4,0.051471,0.675076,0.036427,0.697718
K7_R1_2,pegged,flip,0.095,0.01,0.01,0.01,0.01,4,0.075009,0.639650,0.042388,0.688747
K7_R1_2,pegged,flip,0.1,0.01,0.01,0.01,0.01,4,0.105604,0.593601,0.027776,0.710739
K7_R1_2,pegged,flip,0.11,0.01,0.01,0.01,0.01,4,0.034797,0.700171,0.032488,0.703646
K7_R1_2,pegged,flip,0.12,0.01,0.01,0.01,0.01,4,0.047932,0.680402,0.045220,0.684485
K7_R1_2,pegged,insert,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.025787,0.713733
K7_R1_2,pegged,insert,0.002,0.01,0.01,0.01,0.01,4,0.890722,0.000000,0.029746,0.707774
K7_R1_2,pegged,insert,0.004,0.01,0.01,0.01,0.01,4,0.841480,0.000000,0.026449,0.712735
K7_R1_2,pegged,insert,0.006,0.01,0.01,0.01,0.01,4,0.947925,0.000000,0.034332,0.700872
K7_R1_2,pegged,insert,0.008,0.01,0.01,0.01,0.01,4,0.895508,0.004544,0.046127,0.683119
K7_R1_2,pegged,insert,0.01,0.01,0.01,0.01,0.01,4,0.935746,0.000000,0.032607,0.703467
K7_R1_2,pegged,insert,0.012,0.01,0.01,0.01,0.01,4,0.879394,0.002781,0.033911,0.701506
K7_R1_2,pegged,insert,0.015,0.01,0.01,0.01,0.01,4,0.739114,0.017671,0.027826,0.710663
K7_R1_2,pegged,insert,0.018,0.01,0.01,0.01,0.01,4,0.788478,0.011427,0.037113,0.696685
K7_R1_2,pegged,insert,0.021,0.01,0.01,0.01,0.01,4,0.598207,0.050504,0.040399,0.691740
K7_R1_2,pegged,insert,0.025,0.01,0.01,0.01,0.01,4,0.614110,0.082566,0.039642,0.692879
K7_R1_2,pegged,insert,0.029,0.01,0.01,0.01,0.01,4,0.514217,0.097315,0.042282,0.688906
K7_R1_2,pegged,insert,0.033,0.01,0.01,0.01,0.01,4,0.601724,0.068887,0.034028,0.701330
K7_R1_2,pegged,insert,0.038,0.01,0.01,0.01,0.01,4,0.393422,0.187831,0.020397,0.721844
K7_R1_2,pegged,insert,0.043,0.01,0.01,0.01,0.01,4,0.329476,0.259287,0.030762,0.706244
K7_R1_2,pegged,insert,0.05,0.01,0.01,0.01,0.01,4,0.281402,0.342200,0.038625,0.694410
K7_R1_2,pegged,insert,0.057,0.01,0.01,0.01,0.01,4,0.241269,0.390394,0.042927,0.687935
K7_R1_2,pegged,insert,0.064,0.01,0.01,0.01,0.01,4,0.194586,0.459675,0.039525,0.693055
K7_R1_2,pegged,insert,0.07,0.01,0.01,0.01,0.01,4,0.084235,0.625763,0.044420,0.685688
K7_R1_2,pegged,delete,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043461,0.687131
K7_R1_2,pegged,delete,0.002,0.01,0.01,0.01,0.01,4,0.976632,0.000000,0.034854,0.700086
