code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,matched,erase,0.07,0.01,0.01,0.01,0.07,4,0.117804,0.089393,0.000000,0.071085
K3_R1_2,matched,erase,0.08,0.01,0.01,0.01,0.08,4,0.105805,0.050214,0.000000,0.050296
K3_R1_2,matched,erase,0.09,0.01,0.01,0.01,0.09,4,0.028620,0.037118,0.000000,0.035453
K3_R1_2,matched,erase,0.1,0.01,0.01,0.01,0.1,4,0.025918,0.025649,0.000000,0.024894
K3_R1_2,matched,erase,0.11,0.01,0.01,0.01,0.11,4,0.019527,0.022892,0.000000,0.017410
K3_R1_2,matched,erase,0.12,0.01,0.01,0.01,0.12,4,0.000000,0.012127,0.000000,0.012127
K3_R1_2,matched,erase,0.13,0.01,0.01,0.01,0.13,4,0.023062,0.010589,0.000000,0.008413
K3_R1_2,matched,erase,0.14,0.01,0.01,0.01,0.14,4,0.015607,0.005812,0.000000,0.005811
K3_R1_2,matched,erase,0.15,0.01,0.01,0.01,0.15,4,0.007727,0.004088,0.000000,0.003997
K3_R1_2,matched,erase,0.16,0.01,0.01,0.01,0.16,4,0.000000,0.002737,0.000000,0.002737
K3_R1_2,matched,erase,0.18,0.01,0.01,0.01,0.18,4,0.000000,0.001266,0.000000,0.001266
K3_R1_2,matched,erase,0.2,0.01,0.01,0.01,0.2,4,0.000000,0.000574,0.000000,0.000574
K3_R1_2,matched,erase,0.22,0.01,0.01,0.01,0.22,4,0.000000,0.000255,0.000000,0.000255
K3_R1_2,matched,erase,0.24,0.01,0.01,0.01,0.24,4,0.000000,0.000111,0.000000,0.000111
K3_R1_2,matched,erase,0.26,0.01,0.01,0.01,0.26,4,0.000000,0.000047,0.000000,0.000047
K7_R1_2,matched,flip,0,0,0.01,0.01,0.01,4,0.999023,0.000977,0.000000,0.724979
K7_R1_2,matched,flip,0.004,0.004,0.01,0.01,0.01,4,0.991240,0.008330,0.000000,0.637711
K7_R1_2,matched,flip,0.008,0.008,0.01,0.01,0.01,4,0.958980,0.033927,0.000000,0.560659
K7_R1_2,matched,flip,0.01,0.01,0.01,0.01,0.01,4,0.827635,0.115148,0.000000,0.525595
K7_R1_2,matched,flip,0.012,0.012,0.01,0.01,0.01,4,0.745385,0.160422,0.000000,0.492660
K7_R1_2,matched,flip,0.014,0.014,0.01,0.01,0.01,4,0.651083,0.199014,0.000000,0.461729
K7_R1_2,matched,flip,0.016,0.016,0.01,0.01,0.01,4,0.621132,0.212255,0.000000,0.432682
K7_R1_2,matched,flip,0.018,0.018,0.01,0.01,0.01,4,0.511476,0.228073,0.000000,0.405409
K7_R1_2,matched,flip,0.02,0.02,0.01,0.01,0.01,4,0.303654,0.290097,0.000000,0.379804
K7_R1_2,matched,flip,0.024,0.024,0.01,0.01,0.01,4,0.275665,0.269044,0.000000,0.333211
K7_R1_2,matched,flip,0.028,0.028,0.01,0.01,0.01,4,0.201961,0.252047,0.000000,0.292177
K7_R1_2,matched,flip,0.032,0.032,0.01,0.01,0.01,4,0.138592,0.236157,0.000000,0.256057
K7_R1_2,matched,flip,0.036,0.036,0.01,0.01,0.01,4,0.084294,0.216232,0.000000,0.224280
K7_R1_2,matched,flip,0.04,0.04,0.01,0.01,0.01,4,0.017688,0.207080,0.000000,0.196338
K7_R1_2,matched,flip,0.045,0.045,0.01,0.01,0.01,4,0.021835,0.167255,0.000000,0.166124
K7_R1_2,matched,flip,0.05,0.05,0.01,0.01,0.01,4,0.000000,0.140437,0.000000,0.140437
K7_R1_2,matched,flip,0.055,0.055,0.01,0.01,0.01,4,0.038931,0.116933,0.000000,0.118616
K7_R1_2,matched,flip,0.06,0.06,0.01,0.01,0.01,4,0.007345,0.099801,0.000000,0.100096
K7_R1_2,matched,flip,0.065,0.065,0.01,0.01,0.01,4,0.000000,0.084391,0.000000,0.084391
K7_R1_2,matched,flip,0.07,0.07,0.01,0.01,0.01,4,0.000000,0.071085,0.000000,0.071085
K7_R1_2,matched,flip,0.075,0.075,0.01,0.01,0.01,4,0.000000,0.059822,0.000000,0.059822
K7_R1_2,matched,flip,0.08,0.08,0.01,0.01,0.01,4,0.000000,0.050296,0.000000,0.050296
K7_R1_2,matched,flip,0.085,0.085,0.01,0.01,0.01,4,0.000000,0.042247,0.000000,0.042247
K7_R1_2,matched,flip,0.09,0.09,0.01,0.01,0.01,4,0.000000,0.035453,0.000000,0.035453
K7_R1_2,matched,flip,0.095,0.095,0.01,0.01,0.01,4,0.000000,0.029722,0.000000,0.029722
K7_R1_2,matched,flip,0.1,0.1,0.01,0.01,0.01,4,0.000000,0.024894,0.000000,0.024894
K7_R1_2,matched,flip,0.11,0.11,0.01,0.01,0.01,4,0.000000,0.017410,0.000000,0.017410
K7_R1_2,matched,flip,0.12,0.12,0.01,0.01,0.01,4,0.000000,0.012127,0.000000,0.012127
K7_R1_2,matched,insert,0,0.01,0,0.01,0.01,4,0.999023,0.000977,0.000000,0.525595
K7_R1_2,matched,insert,0.002,0.01,0.002,0.01,0.01,4,0.995878,0.004122,0.000000,0.525595
